region,comuna,titulo,fecha,bajada,link,medio,label,score
Arica y Parinacota,Arica,Investigación de Ciper revela la fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"Una profunda investigación periodística expone el conflicto entre la empresa minera Quiborax y la Corporación Nacional Forestal (Conaf),",https://www.adnradio.cl/2024/03/06/investigacion-de-ciper-revela-la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,ADN Radio,conflicto minero,0.6664041876792908
Arica y Parinacota,Arica,La fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la",https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,- CIPER Chile,conflicto minero,0.8108906745910645
Arica y Parinacota,Arica,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",2022-11-19,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,conflicto minero,0.7939644455909729
Arica y Parinacota,Arica,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,2019-07-24,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,conflicto minero,0.8315406441688538
Arica y Parinacota,Arica,Polémica en Arica por toma ilegal en humedal del Río Lluta,2022-03-10,"La comunidad ecológica ""Bella Vista Hermosa"" instaló viviendas en el lugar de 52 hectáreas. El Comité Ambiental de Arica advirtió que la",https://cooperativa.cl/noticias/pais/region-de-arica/polemica-en-arica-por-toma-ilegal-en-humedal-del-rio-lluta/2022-03-10/134509.html,Cooperativa.cl,conflicto minero,0.5880008935928345
Arica y Parinacota,Arica,Quiborax: la sorpresa del litio en los depósitos de desechos de minera en Arica,2023-08-22,"Compartir. La singularidad del proyecto de Quiborax radica en que el litio se encuentra ya extraído en material de desecho, lo que reduce el",https://www.reporteminero.cl/noticia/noticias/2023/08/quiborax-litio-depositos-desechos-minera-arica,Reporte Minero,conflicto minero,0.9181177616119384
Arica y Parinacota,Arica,Organizaciones de Arica y Parinacota alzan la voz por grave contaminación de desechos tóxicos a causa de la minería,2013-08-13,"23 Julio, 2013. Señalan: “Condenamos y denunciamos, la larga historia de este conflicto, con desarticulación e intervención política de los",https://www.cric-colombia.org/portal/organizaciones-de-arica-y-parinacota-alzan-la-voz-por-grave-contaminacion-de-desechos-toxicos-a-causa-de-la-mineria/,Consejo Regional Indígena del Cauca - CRIC,conflicto minero,0.8426517248153687
Arica y Parinacota,Arica,Pueblos de Arica y Parinacota contra Transnacional Minera,2018-10-17,"Convocadas por la organización ""Belén dice No a la Minería"" más de un centenar de personas se movilizaron por las calles de la ciudad este",https://www.laizquierdadiario.cl/Pueblos-de-Arica-y-Parinacota-contra-Transnacional-Minera,La Izquierda Diario Chile,conflicto minero,0.8885853886604309
Arica y Parinacota,Arica,Arica: Primer Tribunal Ambiental alista pronunciamiento por causa del CDE contra minera Quiborax,2024-07-21,El empresa reclama que nunca han tenido una sanción en 37 años por Salar de Surire.hace 4 meses,https://www.soychile.cl/arica/sociedad/2024/07/18/869030/salar-quiborax-cde.html,soychile.cl,conflicto minero,0.5733931660652161
Arica y Parinacota,Arica,Arica va a paro este lunes en contra de termoeléctrica y proyecto minero,2013-09-30,"En rechazo a la central termoeléctrica Cerro Chuño, al proyecto minero los Pumas y a las semillas transgénicas organizaciones sociales,",https://www.elciudadano.com/organizacion-social/arica-va-a-paro-este-lunes-en-contra-de-termoelectrica-y-proyecto-minero/09/30/,elciudadano.com,conflicto minero,0.6514124870300293
