region,comuna,titulo,fecha,bajada,link,medio,label,score
Arica y Parinacota,Arica,INDH abordó los conflictos medioambientales que enfrentan las mujeres indígenas del norte,2024-10-21,"Es la primera vez que el INDH organiza un encuentro de este tipo, lo que hizo posible que mujeres de Arica y Parinacota, Tarapacá,",https://www.indh.cl/indh-abordo-los-conflictos-medioambientales-que-enfrentan-las-mujeres-indigenas-del-norte/,Instituto Nacional de Derechos Humanos (INDH),conflicto,0.7453917264938354
Arica y Parinacota,Arica,Quiborax: Empresa denunciada por daño ambiental a Salar de Surire busca obtener contrato para explotar litio,2024-07-05,La minera Quiborax está demandada por el Consejo de Defensa del Estado debido a presuntamente haber generado daño ambiental irreparable,https://resumen.cl/articulos/quiborax-empresa-denunciada-por-dano-ambiental-a-salar-de-surire-busca-obtener-contrato-para-explotar-litio,Resumen.cl,conflicto,0.7047748565673828
Arica y Parinacota,Arica,Desafíos ambientales en Arica Parinacota,2015-01-05,"El Profesor Cristián Estades, estuvo a cargo del equipo que recorrió la región para realizar el diagnóstico sobre fauna.hace 118 meses",https://forestal.uchile.cl/noticias/108552/desafios-ambientales-en-arica-parinacota,Forestal Uchile,conflicto,0.9180511832237244
Arica y Parinacota,Arica,Investigación de Ciper revela la fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"Una profunda investigación periodística expone el conflicto entre la empresa minera Quiborax y la Corporación Nacional Forestal (Conaf),",https://www.adnradio.cl/2024/03/06/investigacion-de-ciper-revela-la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,ADN Radio,conflicto,0.6184629201889038
Arica y Parinacota,Arica,"Contaminación del aire, basura y ruidos son los principales problemas ambientales del país - Arica y Parinacota",2019-05-09,"Veinticinco años atrás el cuidado del medio ambiente era un tema aún más emergente, Tímidamente se comenzaba a hablar de reciclaje en los",https://www.explora.cl/aricayparinacota/contaminacion-del-aire-basura-y-ruidos-son-los-principales-problemas-ambientales-del-pais-1/,Explora.cl,conflicto,0.7302424311637878
Arica y Parinacota,Arica,La fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la",https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,- CIPER Chile,conflicto,0.6706702709197998
Arica y Parinacota,Arica,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",2022-11-19,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,conflicto,0.8022608757019043
Arica y Parinacota,Arica,"«En Arica, se contamina con arsénico y quieren contaminar también con residuos de desalinización» por Miguel Silva",2024-07-21,"Los dos valles en Arica están contaminados con materiales pesados como arsénico, y como tal, han aparecido enfermedades raras…hace 3 meses",https://www.revistadefrente.cl/en-arica-se-contamina-con-arsenico-y-quieren-contaminar-tambien-con-residuos-de-desalinizacion-por-miguel-silva/,Revista De Frente,conflicto,0.6740067005157471
Arica y Parinacota,Arica,Humedal de Arica: Un pulmón en el desierto de Atacama bajo seria amenaza,2019-01-16,Se estima que en Chile existen cerca de 18 mil humedales y solo el 2 % cuenta con algún tipo de protección. El humedal del río Lluta es el,https://es.mongabay.com/2019/01/chile-humedal-de-arica-bajo-amenaza/,Mongabay - Conservation News,conflicto,0.5259782671928406
Arica y Parinacota,Arica,Senador UDI teme enfrentamiento de chilenos y bolivianos por bloqueo de carretera en Arica,2024-10-19,"Una compleja situación se vive en la Ruta 11-CH, que conecta la Región de Arica y Parinacota con Bolivia, por el paro indefinido de los",https://cooperativa.cl/noticias/pais/region-de-arica/senador-udi-teme-enfrentamiento-de-chilenos-y-bolivianos-por-bloqueo-de/2024-10-19/175658.html,Cooperativa.cl,conflicto,0.871823251247406
